MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,DISTANCE,ORIGIN_CITY_TIME_ZONE,DEST_CITY_TIME_ZONE,SCHD_ARR_TIME_UTC_MINUTES,EXPECTED_DURATION,NEW_ORIGIN,NEW_DEST,ARR_DELAY_CLS
7,21,5,DL,143.0,America/New_York,America/New_York,123,110,ATL,Other,1
8,2,3,EV,674.0,America/New_York,America/Chicago,866,128,ATL,Other,1
9,17,7,WN,946.0,America/New_York,America/New_York,1162,214,ATL,BOS,1
9,19,2,AA,594.0,America/New_York,America/New_York,1092,104,ATL,Other,0
11,21,2,DL,721.0,America/New_York,America/Chicago,899,115,ATL,Other,0
8,4,5,DL,192.0,America/New_York,America/New_York,712,48,Other,ATL,0
4,24,2,DL,306.0,America/New_York,America/New_York,790,63,ATL,Other,0
2,15,4,OH,140.0,America/New_York,America/New_York,1438,55,Other,Other,0
3,29,4,DL,515.0,America/New_York,America/New_York,1461,103,Other,ATL,0
8,25,5,DL,594.0,America/New_York,America/New_York,1134,157,Other,ATL,1
12,16,6,DL,666.0,America/New_York,America/New_York,1087,256,Other,ATL,1
7,20,4,DL,1947.0,America/Los_Angeles,America/New_York,673,257,Other,ATL,0
9,7,4,DL,1269.0,America/New_York,America/Denver,1583,177,ATL,Other,0
11,13,1,DL,192.0,America/New_York,America/New_York,204,42,ATL,Other,0
11,15,3,DL,448.0,America/Chicago,America/New_York,1326,99,Other,ATL,0
10,2,1,NK,731.0,America/Chicago,America/New_York,1345,144,Other,ATL,1
2,28,3,DL,306.0,America/New_York,America/New_York,1365,63,Other,ATL,0
9,15,5,OO,606.0,America/Chicago,America/New_York,196,87,ORD,ATL,0
4,25,3,WN,484.0,America/New_York,America/Chicago,1280,85,ATL,Other,0
4,7,6,DL,782.0,America/Chicago,America/New_York,1371,117,Other,ATL,1
6,11,7,EV,227.0,America/New_York,America/New_York,1088,43,ATL,Other,0
2,5,1,DL,481.0,America/New_York,America/New_York,831,114,Other,ATL,0
8,27,7,DL,749.0,America/New_York,America/New_York,214,110,ATL,Other,0
10,22,7,EV,563.0,America/New_York,America/Chicago,850,85,ATL,Other,0
12,15,5,UA,2139.0,America/New_York,America/Los_Angeles,1077,351,ATL,Other,1
9,18,1,DL,534.0,America/New_York,America/New_York,1325,70,Other,ATL,0
10,1,7,DL,581.0,America/New_York,America/New_York,1259,102,FLL,ATL,0
10,6,5,DL,606.0,America/New_York,America/Chicago,264,99,ATL,ORD,0
5,15,1,DL,696.0,America/Chicago,America/New_York,1451,165,Other,ATL,1
9,12,2,AA,925.0,America/New_York,America/Chicago,1343,140,SAV,DFW,0
9,1,5,WN,1947.0,America/New_York,America/Los_Angeles,282,262,ATL,Other,0
2,1,4,DL,447.0,America/New_York,America/New_York,989,80,ATL,Other,0
9,7,4,DL,192.0,America/New_York,America/New_York,142,45,ATL,Other,0
2,2,5,DL,907.0,America/New_York,America/Chicago,995,178,ATL,Other,1
6,19,1,DL,903.0,America/New_York,America/New_York,433,344,Other,ATL,1
7,13,4,DL,404.0,America/New_York,America/New_York,926,69,MCO,ATL,0
1,10,3,DL,270.0,America/New_York,America/New_York,1011,67,Other,ATL,0
11,3,5,DL,481.0,America/New_York,America/New_York,1343,67,ATL,Other,0
5,11,4,DL,712.0,America/New_York,America/New_York,205,128,ATL,Other,1
10,28,6,WN,515.0,America/New_York,America/New_York,860,89,Other,ATL,0
5,10,3,DL,946.0,America/New_York,America/New_York,949,128,Other,ATL,0
3,21,3,DL,259.0,America/New_York,America/New_York,917,77,Other,ATL,0
4,2,1,DL,692.0,America/New_York,America/Chicago,1231,133,ATL,Other,1
1,23,2,DL,332.0,America/New_York,America/Chicago,1265,66,ATL,Other,0
7,30,7,NK,581.0,America/New_York,America/New_York,887,99,FLL,ATL,0
2,11,7,DL,214.0,America/New_York,America/New_York,1305,73,ATL,SAV,1
2,28,3,DL,481.0,America/New_York,America/New_York,275,69,ATL,Other,0
9,4,1,DL,669.0,America/Chicago,America/New_York,249,219,Other,ATL,1
6,10,6,DL,746.0,America/New_York,America/New_York,1073,128,ATL,Other,0
12,29,5,EV,164.0,America/New_York,America/New_York,1306,37,ATL,Other,0
6,29,4,WN,1747.0,America/Los_Angeles,America/New_York,1623,198,Other,ATL,0
8,11,5,DL,669.0,America/Chicago,America/New_York,809,166,Other,ATL,1
7,6,4,DL,425.0,America/Chicago,America/New_York,1374,82,Other,ATL,0
7,4,2,EV,589.0,America/New_York,America/Chicago,1009,73,ATL,Other,0
1,21,7,DL,746.0,America/New_York,America/New_York,315,115,ATL,Other,0
1,31,3,9E,227.0,America/New_York,America/New_York,1035,46,Other,ATL,0
11,12,7,DL,813.0,America/Chicago,America/New_York,154,122,Other,ATL,0
5,22,1,EV,357.0,America/New_York,America/New_York,933,83,Other,ATL,0
11,8,3,DL,1946.0,America/New_York,America/Los_Angeles,1170,331,ATL,Other,1
4,20,5,DL,223.0,America/New_York,America/New_York,1085,72,Other,ATL,0
5,15,1,DL,152.0,America/New_York,America/New_York,198,29,ATL,Other,0
10,2,1,DL,432.0,America/Indiana/Indianapolis,America/New_York,1105,89,Other,ATL,0
11,20,1,DL,594.0,America/Detroit,America/New_York,784,128,Other,ATL,0
11,14,2,WN,406.0,America/New_York,America/New_York,996,78,Other,ATL,0
1,7,7,DL,545.0,America/New_York,America/New_York,1324,86,ATL,Other,0
6,14,3,OO,566.0,America/New_York,America/Indiana/Indianapolis,364,278,ATL,Other,1
